iter	Passed	Remaining
802	13759	3375
803	13778	3358
804	13794	3341
805	13813	3324
806	13829	3307
807	13848	3290
808	13865	3273
809	13885	3257
810	13904	3240
811	13924	3223
812	13940	3206
813	13961	3190
814	13977	3172
815	13995	3155
816	14013	3138
817	14030	3121
818	14046	3104
819	14065	3087
820	14080	3069
821	14102	3053
822	14119	3036
823	14141	3020
824	14157	3003
825	14179	2987
826	14194	2969
827	14213	2952
828	14230	2935
829	14248	2918
830	14264	2900
831	14286	2884
832	14301	2867
833	14331	2852
834	14346	2834
835	14368	2818
836	14385	2801
837	14406	2785
838	14421	2767
839	14439	2750
840	14454	2732
841	14475	2716
842	14491	2698
843	14512	2682
844	14526	2664
845	14544	2647
846	14559	2629
847	14579	2613
848	14594	2595
849	14614	2579
850	14629	2561
851	14650	2544
852	14666	2527
853	14685	2510
854	14700	2492
855	14719	2476
856	14733	2458
857	14752	2441
858	14767	2423
859	14784	2406
860	14801	2389
861	14818	2372
862	14835	2355
863	14855	2338
864	14870	2320
865	14891	2304
866	14906	2286
867	14924	2269
868	14938	2251
869	14958	2235
870	14972	2217
871	14990	2200
872	15005	2182
873	15023	2165
874	15040	2148
875	15059	2131
876	15076	2114
877	15094	2097
878	15111	2080
879	15131	2063
880	15145	2045
881	15164	2028
882	15179	2011
883	15198	1994
884	15213	1976
885	15232	1959
886	15247	1942
887	15263	1925
888	15278	1907
889	15296	1890
890	15311	1873
891	15329	1855
892	15344	1838
893	15363	1821
894	15379	1804
895	15399	1787
896	15413	1769
897	15433	1753
898	15449	1735
899	15469	1718
900	15484	1701
901	15503	1684
902	15518	1667
903	15536	1649
904	15552	1632
905	15577	1616
906	15592	1598
907	15607	1581
908	15623	1564
909	15642	1547
910	15662	1530
911	15680	1513
912	15697	1495
913	15715	1478
914	15729	1461
915	15747	1444
916	15762	1426
917	15780	1409
918	15796	1392
919	15816	1375
920	15831	1357
921	15854	1341
922	15869	1323
923	15886	1306
924	15902	1289
925	15920	1272
926	15935	1254
927	15956	1238
928	15971	1220
929	15990	1203
930	16007	1186
931	16027	1169
932	16043	1152
933	16063	1135
934	16080	1117
935	16098	1100
936	16113	1083
937	16133	1066
938	16150	1049
939	16169	1032
940	16184	1014
941	16202	997
942	16217	980
943	16236	963
944	16250	945
945	16270	928
946	16285	911
947	16303	894
948	16318	876
949	16336	859
950	16352	842
951	16373	825
952	16388	808
953	16408	791
954	16423	773
955	16439	756
956	16454	739
957	16473	722
958	16490	705
959	16509	687
960	16527	670
961	16547	653
962	16562	636
963	16581	619
964	16596	601
965	16616	584
966	16632	567
967	16652	550
968	16667	533
969	16689	516
970	16706	498
971	16726	481
972	16742	464
973	16760	447
974	16777	430
975	16795	413
976	16811	395
977	16830	378
978	16845	361
979	16864	344
980	16879	326
981	16899	309
982	16914	292
983	16931	275
984	16946	258
985	16964	240
986	16979	223
987	16998	206
988	17014	189
989	17032	172
990	17047	154
991	17064	137
992	17080	120
993	17100	103
994	17115	86
995	17134	68
996	17149	51
997	17168	34
998	17183	17
999	17202	0
