iter	MAE
0	47.21893537
1	46.96910574
2	46.71923528
3	46.469408
4	46.21953749
5	45.96966703
6	45.71983976
7	45.4699694
8	45.22014215
9	44.97031498
10	44.72043801
11	44.47056401
12	44.22067114
13	43.97079852
14	43.72095752
15	43.47113003
16	43.22130286
17	42.97145482
18	42.72162727
19	42.47179521
20	42.22196708
21	41.97211396
22	41.7222866
23	41.47241584
24	41.2225879
25	40.97270081
26	40.72283037
27	40.47300301
28	40.22313252
29	39.9732621
30	39.72334855
31	39.47343499
32	39.22352143
33	38.97360788
34	38.72367272
35	38.47373756
36	38.22378079
37	37.97382402
38	37.72386726
39	37.47391049
40	37.22395372
41	36.97399695
42	36.72404019
43	36.47408342
44	36.22412665
45	35.97416988
46	35.72421311
47	35.47425635
48	35.22429958
49	34.97434281
50	34.72438604
51	34.47442927
52	34.22447251
53	33.97451574
54	33.72455897
55	33.4746022
56	33.22464543
57	32.97468867
58	32.7247319
59	32.47477513
60	32.22481836
61	31.97486159
62	31.72490483
63	31.47494806
64	31.22499129
65	30.97503452
66	30.72507775
67	30.47512099
68	30.22516422
69	29.97520745
70	29.72525068
71	29.47529391
72	29.22533714
73	28.97538038
74	28.72542361
75	28.47546684
76	28.22551007
77	27.9755533
78	27.72559654
79	27.47563977
80	27.225683
81	26.97572623
82	26.72576947
83	26.4758127
84	26.22585593
85	25.97589916
86	25.72594239
87	25.47598563
88	25.22602886
89	24.97607209
90	24.72611532
91	24.47615856
92	24.22620179
93	23.97624502
94	23.72628825
95	23.47633149
96	23.22637472
97	22.97641795
98	22.72646118
99	22.47650441
100	22.22654765
101	21.97659088
102	21.72663411
103	21.47667734
104	21.22672057
105	20.97676381
106	20.72680704
107	20.47685027
108	20.2268935
109	19.97693673
110	19.72697997
111	19.47703289
112	19.2271663
113	18.97751057
114	18.72830607
115	18.47958187
116	18.23104417
117	17.98354272
118	17.73697438
119	17.49147921
120	17.2476503
121	17.00519974
122	16.76579663
123	16.52720346
124	16.29089499
125	16.05704525
126	15.82655637
127	15.5991462
128	15.37419459
129	15.15271185
130	14.93446284
131	14.71835549
132	14.50553112
133	14.29588016
134	14.09056022
135	13.88673106
136	13.68711913
137	13.48939122
138	13.29558554
139	13.1022169
140	12.91435915
141	12.72681683
142	12.54179042
143	12.35857145
144	12.17624749
145	11.99503107
146	11.81405827
147	11.63519503
148	11.45749268
149	11.28132522
150	11.10709233
151	10.93594902
152	10.76514353
153	10.59854447
154	10.43541479
155	10.27492187
156	10.11450289
157	9.955419652
158	9.799067905
159	9.643247864
160	9.490679037
161	9.338294798
162	9.18757067
163	9.038692028
164	8.891465279
165	8.747256686
166	8.600835071
167	8.456111595
168	8.312358482
169	8.168521386
170	8.024620633
171	7.883226939
172	7.742089478
173	7.601546
174	7.462446768
175	7.325729253
176	7.18958973
177	7.054362718
178	6.921115513
179	6.78876193
180	6.65812126
181	6.529419303
182	6.401395839
183	6.275901286
184	6.150748969
185	6.027053982
186	5.905925255
187	5.785836351
188	5.667408281
189	5.550533992
190	5.433971365
191	5.3188623
192	5.204439938
193	5.089198391
194	4.977694644
195	4.866381372
196	4.754871382
197	4.649167553
198	4.541870632
199	4.436586691
200	4.334302662
201	4.228353969
202	4.125057506
203	4.02393692
204	3.924155327
205	3.825909038
206	3.729564098
207	3.63387982
208	3.542224414
209	3.450594232
210	3.361875638
211	3.27170349
212	3.186864492
213	3.102751161
214	3.022015661
215	2.94029933
216	2.861847643
217	2.785522452
218	2.710758002
219	2.634541025
220	2.566280773
221	2.502635133
222	2.437457055
223	2.375971173
224	2.317164005
225	2.262250858
226	2.208654625
227	2.158169561
228	2.109784474
229	2.06475722
230	2.022585354
231	1.981702413
232	1.940395231
233	1.899316843
234	1.866202477
235	1.828908323
236	1.794017773
237	1.764402181
238	1.733549386
239	1.705056171
240	1.680529026
241	1.656205792
242	1.631788367
243	1.611536766
244	1.588011127
245	1.56671874
246	1.54875937
247	1.530281151
248	1.509793202
249	1.492109243
250	1.473124555
251	1.455823647
252	1.438921659
253	1.420418793
254	1.404984407
255	1.388842974
256	1.374498542
257	1.361395502
258	1.349933823
259	1.338938733
260	1.326500763
261	1.316175463
262	1.305634814
263	1.295683844
264	1.284690019
265	1.272074784
266	1.260779092
267	1.254456189
268	1.245894655
269	1.238507666
270	1.231437903
271	1.225192444
272	1.218648041
273	1.212964916
274	1.207091181
275	1.202004452
276	1.19678176
277	1.191335239
278	1.186145255
279	1.181281982
280	1.175535195
281	1.170754958
282	1.166194856
283	1.16159242
284	1.156462526
285	1.152203911
286	1.1479252
287	1.145000162
288	1.139548131
289	1.133394592
290	1.128184728
291	1.124317145
292	1.11750532
293	1.112674418
294	1.10954988
295	1.104349133
296	1.101090775
297	1.0975814
298	1.094263613
299	1.090777643
300	1.087898076
301	1.08458658
302	1.081955352
303	1.077083837
304	1.073719929
305	1.070471648
306	1.067139745
307	1.063620796
308	1.060959205
309	1.05898812
310	1.054749923
311	1.052854773
312	1.050573369
313	1.047990151
314	1.045953885
315	1.039778046
316	1.035783498
317	1.031359835
318	1.028241716
319	1.026165805
320	1.023790753
321	1.021193858
322	1.018178819
323	1.015124385
324	1.010316884
325	1.008434215
326	1.006498164
327	1.004202738
328	1.002180177
329	1.000645837
330	0.998251659
331	0.995215479
332	0.9922911428
333	0.9904907216
334	0.9889923388
335	0.9852537086
336	0.9825925215
337	0.9808357785
338	0.9761084924
339	0.9736696395
340	0.9722016946
341	0.9705042962
342	0.967280796
343	0.9646979765
344	0.963333789
345	0.9629397676
346	0.9597298751
347	0.9558805224
348	0.9543248611
349	0.9523437689
350	0.9508077984
351	0.9489321251
352	0.9465068073
353	0.9438004268
354	0.9410412692
355	0.938147666
356	0.935610985
357	0.9341511674
358	0.9322460172
359	0.9297450201
360	0.9260449301
361	0.923678541
362	0.9214708452
363	0.9183297141
364	0.916503339
365	0.9140598389
366	0.9110767095
367	0.9083136691
368	0.9068413903
369	0.9048088082
370	0.9027495301
371	0.8996390021
372	0.8981983175
373	0.8964946302
374	0.896109676
375	0.8948535767
376	0.8931026428
377	0.8917563969
378	0.889777435
379	0.8861801055
380	0.8845383052
381	0.8826918752
382	0.881822037
383	0.879881587
384	0.878994446
385	0.8758917002
386	0.8735676695
387	0.8711587206
388	0.8692968175
389	0.8680900577
390	0.866303723
391	0.8637309466
392	0.8624274537
393	0.8605879109
394	0.8581296315
395	0.8571283986
396	0.8556379095
397	0.8535441005
398	0.8522681198
399	0.8507092948
400	0.848988082
401	0.8477028959
402	0.8471844897
403	0.8457480162
404	0.8448038736
405	0.842540238
406	0.8415871935
407	0.8410965227
408	0.8394926295
409	0.837135052
410	0.8345760753
411	0.8327293176
412	0.8313400322
413	0.8310831398
414	0.829928314
415	0.8288838519
416	0.8280952517
417	0.8271861148
418	0.8257613466
419	0.8239953611
420	0.8230567263
421	0.8222081852
422	0.8207827308
423	0.8194620546
424	0.8181703048
425	0.8169832213
426	0.8158962811
427	0.8148584982
428	0.8138084589
429	0.8122202746
430	0.8111284806
431	0.8105330193
432	0.8086928756
433	0.8082150587
434	0.8069974212
435	0.8061246802
436	0.8054322357
437	0.8051307647
438	0.8043688065
439	0.8029581444
440	0.8021853422
441	0.7995857916
442	0.7977081055
443	0.7967503051
444	0.7953493822
445	0.7931804082
446	0.7919952373
447	0.7911294992
448	0.7893749734
449	0.7876417455
450	0.7869029967
451	0.7861026452
452	0.784792335
453	0.7839064437
454	0.7835954966
455	0.7826071396
456	0.7814280618
457	0.7804911981
458	0.7793811553
459	0.7788117176
460	0.7773834813
461	0.7759328341
462	0.7749694916
463	0.7737551293
464	0.7733717555
465	0.7726119628
466	0.7719717673
467	0.7709958177
468	0.77017645
469	0.7689499357
470	0.7681699967
471	0.7676900176
472	0.766773155
473	0.7663888689
474	0.7655385576
475	0.7647938798
476	0.7637650595
477	0.7630339296
478	0.7620295704
479	0.7612663719
480	0.7608566289
481	0.7600809977
482	0.7590722544
483	0.7581793356
484	0.7570219157
485	0.7560938263
486	0.7557886317
487	0.7549359441
488	0.7544974583
489	0.753351443
490	0.7522038702
491	0.7519505906
492	0.751070524
493	0.7500715742
494	0.7495840028
495	0.749085819
496	0.7480651602
497	0.7471595414
498	0.7464221617
499	0.7454575899
500	0.7448115651
501	0.7440565322
502	0.7432481731
503	0.7424382061
504	0.7420402656
505	0.7417464928
506	0.7400313393
507	0.7392284892
508	0.7381670799
509	0.7372120524
510	0.7366531247
511	0.7357903116
512	0.7348481937
513	0.7341775136
514	0.7338983252
515	0.7334614214
516	0.7326375861
517	0.731856463
518	0.731232192
519	0.7307263648
520	0.7300990325
521	0.728572309
522	0.7274256541
523	0.7265658486
524	0.7260986008
525	0.725646028
526	0.7251176754
527	0.7241342452
528	0.7235348015
529	0.7228628768
530	0.7221677108
531	0.721902583
532	0.7214726254
533	0.721204078
534	0.7210193933
535	0.7204441264
536	0.7199565661
537	0.7193419514
538	0.7186221705
539	0.7181831472
540	0.7171794938
541	0.7168395716
542	0.7165129494
543	0.7160912223
544	0.7158728111
545	0.7152773145
546	0.7149272551
547	0.7141911675
548	0.7135794052
549	0.7131677248
550	0.7124275473
551	0.7118101803
552	0.7111701299
553	0.7106116309
554	0.7101226456
555	0.7098497327
556	0.7092826611
557	0.7083627165
558	0.707984608
559	0.7075001981
560	0.7070110071
561	0.706827041
562	0.7065243089
563	0.7061190416
564	0.7058379049
565	0.704556027
566	0.7040439359
567	0.7035001854
568	0.7029602293
569	0.7026479153
570	0.7018779559
571	0.7016187937
572	0.701420677
573	0.7012328844
574	0.700584874
575	0.7002211271
576	0.6992782664
577	0.6988452533
578	0.6978379263
579	0.6972945341
580	0.6965132486
581	0.6959584317
582	0.6954194827
583	0.6949135867
584	0.6945537899
585	0.6942722613
586	0.6940973902
587	0.6937380453
588	0.6933162914
589	0.6929539449
590	0.6922947531
591	0.6921854361
592	0.6919658793
593	0.6914087482
594	0.6911544357
595	0.6905397868
596	0.6901135774
597	0.6897484259
598	0.6889996694
599	0.6887245807
600	0.6881433027
601	0.6875105004
602	0.6869628345
603	0.6857097714
604	0.6854494088
605	0.6850012892
606	0.6844309826
607	0.6840927324
608	0.683435848
609	0.6830652316
610	0.6827551719
611	0.6825147154
612	0.6811356162
613	0.6806900819
614	0.6803553616
615	0.6798145562
616	0.679457145
617	0.6790892678
618	0.678649472
619	0.678391695
620	0.6778735928
621	0.6775460034
622	0.677119192
623	0.6764531974
624	0.6754234773
625	0.6750976113
626	0.6746730025
627	0.6741974106
628	0.6736468846
629	0.6733932831
630	0.6728054909
631	0.6724813045
632	0.6720564558
633	0.6715481543
634	0.6710064958
635	0.6705646183
636	0.6701908583
637	0.6695930165
638	0.6691977058
639	0.668937085
640	0.6685627873
641	0.6680606292
642	0.6671319341
643	0.6666148258
644	0.6660579359
645	0.6653498169
646	0.6649686824
647	0.6642922517
648	0.6638665801
649	0.6633384796
650	0.6631039962
651	0.6628787494
652	0.6622729186
653	0.6618100736
654	0.6612128243
655	0.6604812301
656	0.6600550058
657	0.6596596361
658	0.6593124496
659	0.6591256585
660	0.6588421446
661	0.6583627591
662	0.6578528498
663	0.657616285
664	0.6571801012
665	0.6565543334
666	0.6562408871
667	0.6560654777
668	0.6555550523
669	0.6550326978
670	0.6547875274
671	0.6544507886
672	0.6540222031
673	0.6537042653
674	0.6531717186
675	0.6530076249
676	0.6524260914
677	0.6520455198
678	0.6517068433
679	0.6508728298
680	0.650559548
681	0.6503501525
682	0.6499863652
683	0.6497359907
684	0.6495545356
685	0.6493540351
686	0.6491672266
687	0.6487397733
688	0.6485260649
689	0.647859878
690	0.6476397697
691	0.6474072761
692	0.6468672731
693	0.6465345857
694	0.6463166178
695	0.6458327384
696	0.645682005
697	0.6452814646
698	0.6451140625
699	0.6448592366
700	0.6447327983
701	0.6444234505
702	0.6439856759
703	0.64365515
704	0.6433935896
705	0.643083489
706	0.6428862855
707	0.6425081545
708	0.6421194567
709	0.6417017697
710	0.6415522102
711	0.6410275817
712	0.6405276803
713	0.6399944984
714	0.6397781975
715	0.6395155665
716	0.6392819892
717	0.6391134576
718	0.6389322565
719	0.6389060139
720	0.6386133921
721	0.6383902806
722	0.6380061398
723	0.6377444392
724	0.6371210116
725	0.6369006125
726	0.6366962191
727	0.6360723823
728	0.635841347
729	0.635576266
730	0.6353216492
731	0.6346544468
732	0.6344849317
733	0.6342111452
734	0.6340952841
735	0.633528928
736	0.6327898577
737	0.6323801118
738	0.6319937313
739	0.6317764023
740	0.6312904191
741	0.6309935128
742	0.6307319599
743	0.6305018366
744	0.6304016527
745	0.6299378603
746	0.6297242883
747	0.6294649929
748	0.6293083325
749	0.6287428449
750	0.6285062016
751	0.6281017288
752	0.6275833558
753	0.6272910141
754	0.6265156021
755	0.6264153798
756	0.6261839183
757	0.6260486271
758	0.6259017265
759	0.6257956446
760	0.6256001732
761	0.6252892854
762	0.6246923951
763	0.6245778971
764	0.6243026079
765	0.6240486264
766	0.6237443134
767	0.6235590364
768	0.6232146242
769	0.6229433436
770	0.622542151
771	0.6221707486
772	0.6219140661
773	0.6215321165
774	0.6213373019
775	0.6210144838
776	0.6208099509
777	0.620586367
778	0.6202204643
779	0.6197343813
780	0.6196940176
781	0.6195170304
782	0.6193176493
783	0.6190515156
784	0.6187165623
785	0.6185654118
786	0.6182806317
787	0.6180278271
788	0.61791148
789	0.6177407274
790	0.6174487011
791	0.6172574571
792	0.6170472234
793	0.6167808013
794	0.6165317223
795	0.6161843188
796	0.6160348466
797	0.6156285584
798	0.615512284
799	0.615362757
800	0.6151553588
801	0.6149756735
802	0.6148210045
803	0.6146181517
804	0.6144065335
805	0.6142364599
806	0.6139572585
807	0.6134268032
808	0.6132614599
809	0.6130137936
810	0.612771206
811	0.6126594663
812	0.612344169
813	0.6122194408
